Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,78.550003,78.889999,76.139999,76.870003,76.870003,603900
2021-06-25,76.870003,78.269997,76.120003,78.120003,78.120003,888800
2021-06-28,77.839996,77.880997,74.860001,75.120003,75.120003,915700
2021-06-29,74.669998,75.120003,74.269997,74.650002,74.650002,884200
2021-06-30,74.720001,75.349998,73.930000,75.250000,75.250000,686200
2021-07-01,75.839996,76.680000,75.269997,75.419998,75.419998,693200
2021-07-02,75.669998,75.790001,74.360001,74.500000,74.500000,579300
2021-07-06,74.400002,74.599998,73.275002,74.019997,74.019997,892200
2021-07-07,73.580002,74.550003,71.879997,72.910004,72.910004,1076400
2021-07-08,71.919998,73.129997,70.279999,72.410004,72.410004,1431200
2021-07-09,73.309998,74.370003,72.500000,73.860001,73.860001,756800
2021-07-12,73.419998,74.199997,72.939003,73.800003,73.800003,470300
2021-07-13,73.529999,73.625999,72.059998,73.440002,73.440002,1619800
2021-07-14,73.279999,74.739998,72.889999,72.910004,72.910004,1445800
2021-07-15,72.900002,74.080002,72.599998,73.559998,73.559998,1310400
2021-07-16,74.250000,74.449997,72.900002,73.349998,73.349998,1294600
2021-07-19,71.800003,71.849998,68.680000,69.410004,69.410004,2037600
2021-07-20,69.610001,72.290001,68.169998,71.739998,71.739998,1523600
2021-07-21,72.519997,74.129997,71.879997,72.980003,72.980003,1174500
2021-07-22,72.639999,74.099998,71.540001,73.820000,73.820000,885600
2021-07-23,74.480003,75.779999,74.199997,75.400002,75.400002,1015600
2021-07-26,75.180000,76.275002,74.779999,76.099998,76.099998,710800
2021-07-27,75.989998,76.690002,74.480003,75.309998,75.309998,795900
2021-07-28,75.709999,76.570000,73.904999,75.970001,75.970001,740400
2021-07-29,76.699997,77.614998,75.879997,75.940002,75.940002,728500
2021-07-30,75.059998,76.750000,74.919998,75.230003,75.230003,939200
2021-08-02,75.800003,76.709999,74.089996,74.370003,74.370003,790100
2021-08-03,77.089996,77.089996,71.220001,73.449997,73.449997,1841700
2021-08-04,72.809998,73.680000,72.480003,72.699997,72.699997,1086300
2021-08-05,73.059998,76.385002,72.720001,76.029999,76.029999,1001300
2021-08-06,76.449997,76.900002,75.160004,75.589996,75.589996,849300
2021-08-09,75.480003,75.760002,72.690002,74.260002,74.260002,2188400
2021-08-10,71.260002,75.480003,71.260002,75.089996,75.089996,1868400
2021-08-11,74.900002,75.949997,73.879997,75.910004,75.910004,1119100
